Number,Name,Path,Title,Title Image,Tags,Time,Location,URL
28,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_a813c14805b046ad88e712ab6b17639b.md,[Workshop] KAIST-PKNU Joint Workshop,Web%201de9bb83ec3b80b6a257e12869803932/%25EC%2597%25B0%25EA%25B5%25AC%25EC%258B%25A4_%25EB%2589%25B4%25EC%258A%25A41027.png,,2023년 10월 27일,"N4, KAIST",
11,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_124d1f23905141ed85dc3e1d9f2423e7.md,[Article] 카이스트 교수 김형준 “2040년 서울 강남 땅값? 차세대 기후모델 나와야 안다,Web%201de9bb83ec3b80b6a257e12869803932/news_-Nr-MuIR8GpD-Amxxtp-.jpg,,2023년 10월 20일,Online,https://www.businesspost.co.kr/BP?command=article_view&num=330526
15,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_ab425dd5c2a840b587d868ce4e4e8155.md,"[Seminar] 2023 KAIST-U.Tokyo Joint Symposium, Climate and Humanity as a Holistic System",Web%201de9bb83ec3b80b6a257e12869803932/230918%25EC%2584%25B8%25EB%25AF%25B8%25EB%2582%2598.png,,2023년 9월 18일,"E11, KAIST",
17,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_4aaeb8c76fc14d3da7f6854ad28896c6.md,[Workshop] 2023 KAIST-GIST-PKNU-JNU Joint WorkShop in Damyang,Web%201de9bb83ec3b80b6a257e12869803932/news_-Nw31szVidgh37BDgIjZ.jpg,,2023년 7월 10일 → 2023년 7월 12일,Damyang,
22,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_4c9c59dd43f3440098151a08afb95357.md,[Award] Jin & Omer win Outstanding Paper award at 2023 KWRA! 🏅,Web%201de9bb83ec3b80b6a257e12869803932/20230526_170344.jpg,,2023년 5월 26일,Goseong,
10,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_8bbef00e5940466fbd243c0aec81da72.md,"[Article] “기후변화는 결정된 미래, 새 시장 창출로 접근해야 성공”",Web%201de9bb83ec3b80b6a257e12869803932/news_-Nr-Iww7EM3hmpgvxWDi.jpg,,2023년 5월 26일,Online,https://www.fortunekorea.co.kr/news/articleView.html?idxno=28037
3,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_db526e0a2f7f454db0d794f1011d9a9c.md,[Conference] ME lab in 2023 KWRA,Web%201de9bb83ec3b80b6a257e12869803932/20230526_170356.jpg,,2023년 5월 26일,Goseong,
1,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_13cb9b6de70a4aab99ea8b4405f6442b.md,[Workshop] 2023 ME lab Workshop,Web%201de9bb83ec3b80b6a257e12869803932/news_-NqTBSCoazX7zwYmwCCa.jpg,,2023년 5월 24일 → 2023년 5월 27일,"Goseong, Sokcho",
6,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_3b405e310c9542f191b6e66a80fc16ee.md,[Workshop] SNU-KAIST Carbon Neutrality Innovation Technology Talent Development Forum,Web%201de9bb83ec3b80b6a257e12869803932/news_-Nr-85lNQ_8nFcAhIjt5.jpg,,2023년 5월 19일,Seoul,https://youtu.be/_1MitRcoCIg?si=uZN9bKn2XOvSeheC
9,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_729df11861d64794af78eeb881f09338.md,[Broadcast] YTN News | 지구촌 곳곳 때 이른 폭염...'슈퍼 엘니뇨' 까지 온다?,Web%201de9bb83ec3b80b6a257e12869803932/news_-Nr-IPQV5PlTaagQPgmH.jpg,,2023년 5월 17일,Online,https://youtu.be/2QqVer8QDkA
7,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_844600b0335a40aabd4e8aa087fca9a2.md,[Award] 2023 KAIST Research Day 🏅,Web%201de9bb83ec3b80b6a257e12869803932/news_-Nr-ErdKmgTYgjbJbQqJ.jpg,,2023년 5월 16일,KAIST,https://youtu.be/IZph5atcOsw?si=pBcm5HlPb6hQO5qv
19,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_ca6d636510124ea3a51e4e251e4013d6.md,[Conference] ME lab in 2023 28th ISRS,Web%201de9bb83ec3b80b6a257e12869803932/news_-NxRZ_SfBB5RD7WcRZQm.jpg,,2023년 4월 19일 → 2023년 4월 21일,Jeju,
8,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_635af55b898c474490f8b87adf99f153.md,"[Broadcast] YTN News | 살얼음 위의 인류...IPCC ""기후위기 골든타임 10년 남아”",Web%201de9bb83ec3b80b6a257e12869803932/news_-Nr-GSAJ9Y-2y_HKpxss.jpg,,2023년 3월 22일,Online,https://m.ytn.co.kr/news_view.php?s_mcd=0105&key=202303221929384234&pos=#return
2,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_9ac64eca020e48b5a4ac9461e4bb6d19.md,[Award] ME lab Book Club wins the 독서왕 award at KAIST! 🏅,Web%201de9bb83ec3b80b6a257e12869803932/IMG_4472.jpg,,2023년 2월 15일,"N4, KAIST",
14,,Web%201de9bb83ec3b80b6a257e12869803932/News%20acdaa45f52dd43c09e2773b1e2070fd6/oo_oo_9d31ef6463334cb3a09ca32c04a8cb24.md,[Seminar] 2022 International Symposium on Climate-Water-Human Future,Web%201de9bb83ec3b80b6a257e12869803932/news_-NshW_JNiZgiGAAaE0uD.jpg,,2022년 11월 24일,"E11, KAIST",
